state,state_code_census,state_code_plfs,district_name_standard,census_district_code,plfs_2019_code,plfs_2021_code,plfs_2021_code_status,plfs_2023_code,bharatnet_district_name,bharatnet_treatment,state_group,boundary_note,panel_usable_2x2,panel_usable_3period,data_quality_flag
Karnataka,29,29,Bagalkote,29-201,1.0,1.0,PROBABLE_b1q4_perrv,1.0,Bagalkote,mid,high_connectivity,,True,True,VERIFIED
Karnataka,29,29,Bengaluru Urban,29-202,2.0,2.0,PROBABLE_b1q4_perrv,2.0,Bangalore Urban,early,high_connectivity,Urban district — structurally distinct; consider exclusion from DiD,True,True,SPELLING_MISMATCH
Karnataka,29,29,Bengaluru Rural,29-203,3.0,3.0,PROBABLE_b1q4_perrv,3.0,Bangalore Rural,early,high_connectivity,,True,True,SPELLING_MISMATCH
Karnataka,29,29,Bidar,29-204,4.0,4.0,PROBABLE_b1q4_perrv,4.0,Bidar,late,high_connectivity,,True,True,VERIFIED
Karnataka,29,29,Vijayapura,29-205,5.0,5.0,PROBABLE_b1q4_perrv,5.0,Bijapur,late,high_connectivity,PLFS/older sources use Bijapur,True,True,SPELLING_MISMATCH
Karnataka,29,29,Ballari,29-206,6.0,6.0,PROBABLE_b1q4_perrv,6.0,Bellary,mid,high_connectivity,Vijayanagara carved from Ballari in 2021; 2019-20 panel uses Ballari only,True,True,BOUNDARY_CHANGE
Karnataka,29,29,Belagavi,29-207,7.0,7.0,PROBABLE_b1q4_perrv,7.0,Belgaum,mid,high_connectivity,PLFS uses old name Belgaum,True,True,SPELLING_MISMATCH
Karnataka,29,29,Chamarajanagara,29-208,8.0,8.0,PROBABLE_b1q4_perrv,8.0,Chamarajanagar,mid,high_connectivity,Spelling variant,True,True,SPELLING_MISMATCH
Karnataka,29,29,Chikkaballapura,29-209,9.0,9.0,PROBABLE_b1q4_perrv,9.0,Chikkaballapura,early,high_connectivity,,True,True,VERIFIED
Karnataka,29,29,Chikkamagaluru,29-210,10.0,10.0,PROBABLE_b1q4_perrv,10.0,Chikmagalur,early,high_connectivity,PLFS uses old name Chikmagalur,True,True,SPELLING_MISMATCH
Karnataka,29,29,Chitradurga,29-211,11.0,11.0,PROBABLE_b1q4_perrv,11.0,Chitradurga,mid,high_connectivity,,True,True,VERIFIED
Karnataka,29,29,Dakshina Kannada,29-212,12.0,12.0,PROBABLE_b1q4_perrv,12.0,Dakshina Kannada,early,high_connectivity,,True,True,VERIFIED
Karnataka,29,29,Davangere,29-213,13.0,13.0,PROBABLE_b1q4_perrv,13.0,Davanagere,mid,high_connectivity,Spelling variant,True,True,SPELLING_MISMATCH
Karnataka,29,29,Dharwad,29-214,14.0,14.0,PROBABLE_b1q4_perrv,14.0,Dharwad,early,high_connectivity,,True,True,VERIFIED
Karnataka,29,29,Gadag,29-215,15.0,15.0,PROBABLE_b1q4_perrv,15.0,Gadag,mid,high_connectivity,,True,True,VERIFIED
Karnataka,29,29,Hassan,29-216,16.0,16.0,PROBABLE_b1q4_perrv,16.0,Hassan,early,high_connectivity,,True,True,VERIFIED
Karnataka,29,29,Haveri,29-217,17.0,17.0,PROBABLE_b1q4_perrv,17.0,Haveri,mid,high_connectivity,,True,True,VERIFIED
Karnataka,29,29,Kalaburagi,29-218,18.0,18.0,PROBABLE_b1q4_perrv,18.0,Gulbarga,late,high_connectivity,Census/new name Kalaburagi; PLFS uses Gulbarga,True,True,SPELLING_MISMATCH
Karnataka,29,29,Kodagu,29-219,19.0,19.0,PROBABLE_b1q4_perrv,19.0,Kodagu,early,high_connectivity,,True,True,VERIFIED
Karnataka,29,29,Kolar,29-220,20.0,20.0,PROBABLE_b1q4_perrv,20.0,Kolar,early,high_connectivity,,True,True,VERIFIED
Karnataka,29,29,Koppal,29-221,21.0,21.0,PROBABLE_b1q4_perrv,21.0,Koppal,late,high_connectivity,,True,True,VERIFIED
Karnataka,29,29,Mandya,29-222,22.0,22.0,PROBABLE_b1q4_perrv,22.0,Mandya,early,high_connectivity,,True,True,VERIFIED
Karnataka,29,29,Mysuru,29-223,23.0,23.0,PROBABLE_b1q4_perrv,23.0,Mysore,early,high_connectivity,PLFS uses old name Mysore,True,True,SPELLING_MISMATCH
Karnataka,29,29,Raichur,29-224,24.0,24.0,PROBABLE_b1q4_perrv,24.0,Raichur,late,high_connectivity,,True,True,VERIFIED
Karnataka,29,29,Ramanagara,29-225,25.0,25.0,PROBABLE_b1q4_perrv,25.0,Ramanagara,early,high_connectivity,,True,True,VERIFIED
Karnataka,29,29,Shivamogga,29-226,26.0,26.0,PROBABLE_b1q4_perrv,26.0,Shimoga,mid,high_connectivity,PLFS uses old name Shimoga,True,True,SPELLING_MISMATCH
Karnataka,29,29,Tumakuru,29-227,27.0,27.0,PROBABLE_b1q4_perrv,27.0,Tumkur,early,high_connectivity,PLFS uses old name Tumkur,True,True,SPELLING_MISMATCH
Karnataka,29,29,Udupi,29-228,28.0,28.0,PROBABLE_b1q4_perrv,28.0,Udupi,early,high_connectivity,,True,True,VERIFIED
