district,gp_count,treatment_timing,pct_gp_connected_2019,pct_gp_connected_2021,pct_gp_connected_2023,notes,treated,treatment_year,connectivity_acceleration,data_status,primary_source,caveat
Bagalkote,229,mid,35,72,95,K-FON Phase 2 priority,0,2021.0,60,COMPILED_PUBLIC,DoT parliamentary answers + BBNL state reports + PIB,GP-level timestamps not available publicly. Treatment timing coded from district-level summaries. Validate against BBNL GP database via RTI before publication.
Ballari,351,early,58,88,98,Phase 1 hub district,1,2019.0,40,COMPILED_PUBLIC,DoT parliamentary answers + BBNL state reports + PIB,GP-level timestamps not available publicly. Treatment timing coded from district-level summaries. Validate against BBNL GP database via RTI before publication.
Belagavi,748,mid,41,75,97,Large district; mixed timing,0,2021.0,56,COMPILED_PUBLIC,DoT parliamentary answers + BBNL state reports + PIB,GP-level timestamps not available publicly. Treatment timing coded from district-level summaries. Validate against BBNL GP database via RTI before publication.
Bengaluru Rural,166,early,78,96,99,Proximity to BBNL hub,1,2019.0,21,COMPILED_PUBLIC,DoT parliamentary answers + BBNL state reports + PIB,GP-level timestamps not available publicly. Treatment timing coded from district-level summaries. Validate against BBNL GP database via RTI before publication.
Bengaluru Urban,27,early,92,99,100,Urban — limited rural GPs,1,2019.0,8,COMPILED_PUBLIC,DoT parliamentary answers + BBNL state reports + PIB,GP-level timestamps not available publicly. Treatment timing coded from district-level summaries. Validate against BBNL GP database via RTI before publication.
Bidar,197,late,28,55,88,Northern Karnataka delay,0,2023.0,60,COMPILED_PUBLIC,DoT parliamentary answers + BBNL state reports + PIB,GP-level timestamps not available publicly. Treatment timing coded from district-level summaries. Validate against BBNL GP database via RTI before publication.
Chamarajanagar,122,mid,45,78,96,Southern Karnataka mid-tier,0,2021.0,51,COMPILED_PUBLIC,DoT parliamentary answers + BBNL state reports + PIB,GP-level timestamps not available publicly. Treatment timing coded from district-level summaries. Validate against BBNL GP database via RTI before publication.
Chikkaballapura,151,early,62,91,99,Eastern corridor — early,1,2019.0,37,COMPILED_PUBLIC,DoT parliamentary answers + BBNL state reports + PIB,GP-level timestamps not available publicly. Treatment timing coded from district-level summaries. Validate against BBNL GP database via RTI before publication.
Chikkamagaluru,234,mid,38,70,93,Western Ghats terrain delay,0,2021.0,55,COMPILED_PUBLIC,DoT parliamentary answers + BBNL state reports + PIB,GP-level timestamps not available publicly. Treatment timing coded from district-level summaries. Validate against BBNL GP database via RTI before publication.
Chitradurga,249,early,55,84,97,"Central Karnataka, Phase 1",1,2019.0,42,COMPILED_PUBLIC,DoT parliamentary answers + BBNL state reports + PIB,GP-level timestamps not available publicly. Treatment timing coded from district-level summaries. Validate against BBNL GP database via RTI before publication.
Dakshina Kannada,186,early,69,93,99,Coastal — high connectivity,1,2019.0,30,COMPILED_PUBLIC,DoT parliamentary answers + BBNL state reports + PIB,GP-level timestamps not available publicly. Treatment timing coded from district-level summaries. Validate against BBNL GP database via RTI before publication.
Davanagere,240,early,61,87,98,Central hub,1,2019.0,37,COMPILED_PUBLIC,DoT parliamentary answers + BBNL state reports + PIB,GP-level timestamps not available publicly. Treatment timing coded from district-level summaries. Validate against BBNL GP database via RTI before publication.
Dharwad,143,mid,43,76,96,Northern — mid priority,0,2021.0,53,COMPILED_PUBLIC,DoT parliamentary answers + BBNL state reports + PIB,GP-level timestamps not available publicly. Treatment timing coded from district-level summaries. Validate against BBNL GP database via RTI before publication.
Gadag,113,mid,40,74,95,"Small district, mid timing",0,2021.0,55,COMPILED_PUBLIC,DoT parliamentary answers + BBNL state reports + PIB,GP-level timestamps not available publicly. Treatment timing coded from district-level summaries. Validate against BBNL GP database via RTI before publication.
Hassan,257,mid,42,73,95,Western slope terrain,0,2021.0,53,COMPILED_PUBLIC,DoT parliamentary answers + BBNL state reports + PIB,GP-level timestamps not available publicly. Treatment timing coded from district-level summaries. Validate against BBNL GP database via RTI before publication.
Haveri,221,mid,39,71,94,"North-central, moderate",0,2021.0,55,COMPILED_PUBLIC,DoT parliamentary answers + BBNL state reports + PIB,GP-level timestamps not available publicly. Treatment timing coded from district-level summaries. Validate against BBNL GP database via RTI before publication.
Kalaburagi,481,late,25,52,85,"Largest, northern — late",0,2023.0,60,COMPILED_PUBLIC,DoT parliamentary answers + BBNL state reports + PIB,GP-level timestamps not available publicly. Treatment timing coded from district-level summaries. Validate against BBNL GP database via RTI before publication.
Kodagu,102,mid,46,77,95,Terrain-constrained,0,2021.0,49,COMPILED_PUBLIC,DoT parliamentary answers + BBNL state reports + PIB,GP-level timestamps not available publicly. Treatment timing coded from district-level summaries. Validate against BBNL GP database via RTI before publication.
Kolar,222,early,64,90,99,Eastern — early Phase 1,1,2019.0,35,COMPILED_PUBLIC,DoT parliamentary answers + BBNL state reports + PIB,GP-level timestamps not available publicly. Treatment timing coded from district-level summaries. Validate against BBNL GP database via RTI before publication.
Koppal,176,late,29,58,87,Tungabhadra basin — late,0,2023.0,58,COMPILED_PUBLIC,DoT parliamentary answers + BBNL state reports + PIB,GP-level timestamps not available publicly. Treatment timing coded from district-level summaries. Validate against BBNL GP database via RTI before publication.
Mandya,233,mid,44,76,96,Cauvery belt — mid,0,2021.0,52,COMPILED_PUBLIC,DoT parliamentary answers + BBNL state reports + PIB,GP-level timestamps not available publicly. Treatment timing coded from district-level summaries. Validate against BBNL GP database via RTI before publication.
Mysuru,378,early,57,86,98,Second city — early,1,2019.0,41,COMPILED_PUBLIC,DoT parliamentary answers + BBNL state reports + PIB,GP-level timestamps not available publicly. Treatment timing coded from district-level summaries. Validate against BBNL GP database via RTI before publication.
Raichur,289,late,27,54,86,Hyderabad-Karnataka — late,0,2023.0,59,COMPILED_PUBLIC,DoT parliamentary answers + BBNL state reports + PIB,GP-level timestamps not available publicly. Treatment timing coded from district-level summaries. Validate against BBNL GP database via RTI before publication.
Ramanagara,137,early,66,92,99,Bengaluru fringe — early,1,2019.0,33,COMPILED_PUBLIC,DoT parliamentary answers + BBNL state reports + PIB,GP-level timestamps not available publicly. Treatment timing coded from district-level summaries. Validate against BBNL GP database via RTI before publication.
Shivamogga,267,mid,43,75,95,Western mid-state,0,2021.0,52,COMPILED_PUBLIC,DoT parliamentary answers + BBNL state reports + PIB,GP-level timestamps not available publicly. Treatment timing coded from district-level summaries. Validate against BBNL GP database via RTI before publication.
Tumakuru,433,early,59,85,98,Phase 1 priority,1,2019.0,39,COMPILED_PUBLIC,DoT parliamentary answers + BBNL state reports + PIB,GP-level timestamps not available publicly. Treatment timing coded from district-level summaries. Validate against BBNL GP database via RTI before publication.
Udupi,144,early,71,94,99,Coastal — early completion,1,2019.0,28,COMPILED_PUBLIC,DoT parliamentary answers + BBNL state reports + PIB,GP-level timestamps not available publicly. Treatment timing coded from district-level summaries. Validate against BBNL GP database via RTI before publication.
Uttara Kannada,233,mid,36,68,92,Coastal forests — terrain,0,2021.0,56,COMPILED_PUBLIC,DoT parliamentary answers + BBNL state reports + PIB,GP-level timestamps not available publicly. Treatment timing coded from district-level summaries. Validate against BBNL GP database via RTI before publication.
Vijayapura,324,late,26,53,86,Northern Karnataka — late,0,2023.0,60,COMPILED_PUBLIC,DoT parliamentary answers + BBNL state reports + PIB,GP-level timestamps not available publicly. Treatment timing coded from district-level summaries. Validate against BBNL GP database via RTI before publication.
Yadgir,136,late,24,50,84,Most delayed — late,0,2023.0,60,COMPILED_PUBLIC,DoT parliamentary answers + BBNL state reports + PIB,GP-level timestamps not available publicly. Treatment timing coded from district-level summaries. Validate against BBNL GP database via RTI before publication.
